DATE,avg_sell_price_tick,price_high_b,avg_sell_price_wrds,avg_price_m,avg_buy_price_Retail,price_high_m,avg_buy_price_Inst20k,avg_buy_price_Inst50k,avg_buy_price_LR,BestBidDepth_Share_tw
2020-01-02,234.93248411,234.0,234.94302835,234.95016596,234.93868223,235.94,234.94333017,234.94260238,234.95718999,132.31429923
2020-01-03,235.935484,235.0,235.93246674,235.96874252,235.95882894,237.0,235.97811382,235.89178286,235.98673955,121.9278971
2020-01-06,238.82180767,238.6502,238.85037857,238.85609531,238.77218409,240.54,238.78564602,238.65170345,238.84552369,141.639908
2020-01-07,241.54548915,242.2,241.55313666,241.57096666,241.54989034,242.53,241.58545911,241.47517191,241.57885963,137.14431355
2020-01-08,238.51415795,239.89,238.5203431,238.53402715,238.51654288,239.82,238.5315013,238.50112566,238.54219249,142.05936739
2020-01-09,239.09803444,243.0,239.08373691,239.10147289,239.03646819,240.98,239.11927736,238.96595851,239.1335055,137.49476078
2020-01-10,239.01589999,241.0,238.99651753,239.04135388,239.12529687,242.62,239.04450914,239.2165593,239.08211885,129.05601145
2020-01-13,240.84055046,242.3,240.82241457,240.8449616,240.93934333,241.71,240.84284304,240.87559384,240.87717025,162.66658337
2020-01-14,240.20951302,240.5,240.20631885,240.22557168,240.22534281,242.5,240.20443023,240.21007397,240.24342906,119.37531898
2020-01-15,242.36750772,241.0,242.39192146,242.40810323,242.53713839,244.34,242.26031101,242.5588254,242.41753732,124.74887686
2020-01-16,242.73565457,241.5,242.73942543,242.76664427,242.68830993,243.64,242.78361696,242.72086261,242.79006835,116.55373203
2020-01-17,241.85080184,244.52,241.84833081,241.86882948,241.86824872,244.41,241.86724558,241.91275104,241.89362418,122.18437583
2020-01-21,242.9277031,242.1,242.93591444,242.95315336,242.95876347,243.8,242.90786185,242.76251919,242.96745515,126.19991181
2020-01-22,244.05764207,245.0,244.06017435,244.0912023,244.29593518,245.49,244.08287208,244.17174658,244.12862433,122.51928505
2020-01-23,244.18988072,245.0,244.18366566,244.21331753,244.19064075,244.95,244.24412332,244.262925,244.24460988,125.44216938
2020-01-24,244.68556015,245.2,244.7283409,244.73989852,244.68115394,247.863,244.78079837,244.77731818,244.74703992,132.52015028
2020-01-27,237.56374935,240.0,237.5589039,237.55548278,237.53229494,238.65,237.60897047,237.648429,237.56189456,128.30896676
2020-01-28,239.74146503,239.4,239.73870086,239.75827524,239.75136319,241.6677,239.83904734,239.60691818,239.77261968,125.86415165
2020-01-29,239.17362041,239.66,239.16902458,239.23808436,239.46589283,241.8,239.22378439,239.19257903,239.30402398,128.26217684
2020-01-30,237.41898335,236.5,237.41495232,237.43284138,237.38936286,238.9,237.50265293,237.61492969,237.45262209,131.94517588
2020-01-31,235.3352855,240.48,235.33534995,235.37145846,235.33778739,238.91,235.34660432,235.26385231,235.40463784,120.7862352
2020-02-03,235.38319038,236.0,235.39019662,235.43143434,235.4899049,236.36,235.43409593,235.57177093,235.45840706,139.68750747
2020-02-04,239.70538757,238.74,239.68965418,239.77018004,239.85186299,240.85,239.8427567,239.79253284,239.82995285,120.64935794
2020-02-05,240.58319873,244.54,240.59760732,240.60021769,240.52767619,242.9,240.58639512,240.44542097,240.60951721,124.6343478
2020-02-06,245.26749284,242.0,245.29749111,245.28002715,245.30760557,246.33,245.25822341,244.86053125,245.26445755,119.52924716
2020-02-07,245.62566039,246.6,245.62770347,245.66121431,245.66714669,246.87,245.65378984,245.58262816,245.69039831,115.00573304
2020-02-10,247.03654168,243.86,247.02347057,247.0459445,246.92949053,248.55,247.05923439,247.14371081,247.06492659,133.45958773
2020-02-11,247.93784494,249.0,247.93038828,247.97776081,248.25430328,249.99,247.94728887,247.97609,248.03028133,126.220226
2020-02-12,242.6824044,248.0,242.69400879,242.68790329,242.66478026,247.39,242.59803435,242.47683202,242.68551729,128.18395293
2020-02-13,244.95275916,244.42,244.96409297,244.99042903,245.00421061,246.59,245.00452197,244.76388067,245.01577766,136.5467516
2020-02-14,246.75250873,247.0,246.76189643,246.78550089,246.75345823,248.98,246.79373172,247.02004727,246.81710606,147.12028931
2020-02-18,249.0978338,247.41,249.0782341,249.12845585,249.24030026,250.05,249.16580167,249.21841515,249.17145806,159.36501196
2020-02-19,249.4748531,251.7,249.51969931,249.48581185,249.57237661,251.16,249.43939981,249.56731468,249.45027449,143.09261987
2020-02-20,247.57381534,250.88,247.50579783,247.61607677,247.33234205,249.71,247.84386196,247.60919504,247.73971066,141.09319149
2020-02-21,242.70294584,246.6,242.69993553,242.71943615,242.9913344,248.45,242.73719417,242.99833297,242.73811247,146.46215666
2020-02-24,230.66028346,242.0,230.92653378,236.43191273,236.43012177,237.95,236.48012545,236.42154808,236.5204337,200.72751604
2020-02-25,198.45056489,203.65,198.47035448,198.41699831,198.4736673,203.9,199.91160254,198.88866879,198.44835285,274.86004311
2020-02-26,191.34409889,197.98,191.39243058,191.30656928,191.61767648,199.39,191.28585953,191.40603333,191.22441588,197.46195434
2020-02-27,189.74056593,190.05,189.84452586,189.77199268,190.00291547,195.49,189.80511613,189.945489,189.6063579,161.16504779
2020-02-28,184.97155414,185.0,184.97891099,185.04606186,185.31052687,191.38,185.38551676,185.30658199,185.09326579,144.49737064
2020-03-02,184.76646972,188.0,184.66740959,184.79929126,184.344559,189.5,184.61128738,184.74500699,184.95231086,153.72945093
2020-03-03,183.81083288,191.4,183.91821831,183.82813242,183.66309507,191.4,183.79110805,184.11289907,183.72609678,170.87567663
2020-03-04,184.9197568,186.46,184.93154578,184.93494412,184.8772592,197.08,185.11046106,185.10893902,184.94594584,161.88227176
2020-03-05,181.64828684,184.0,181.65761472,181.62680678,181.83166897,185.65,181.78276827,181.63990129,181.59199453,159.17307853
2020-03-06,175.19625885,178.0,175.14133367,175.21315946,175.43269412,179.19,175.46890828,175.5088912,175.31349375,127.66286476
2020-03-09,162.07865328,167.77,162.12860742,162.00444949,161.54300042,169.9,161.8872668,162.89952777,161.87255815,160.79492571
2020-03-10,164.16754782,169.5,164.19744093,164.16140224,163.65757613,169.66,164.3489921,164.40117717,164.12401112,161.75968587
2020-03-11,158.37118798,165.53,158.36128024,158.30193929,158.44593242,167.47,158.30522187,158.48309612,158.25736264,129.47239432
2020-03-12,143.9850761,150.8,143.96484753,144.00049349,144.08118733,149.49,144.01744477,143.9306787,144.05521771,158.78688493
2020-03-13,142.5892543,148.48,142.50190828,142.66782287,142.33384379,153.42,143.85147266,144.84169209,142.88746872,169.88558919
2020-03-16,137.50158361,141.5,137.515055,137.56959727,137.65738836,141.48,137.68544426,137.62070667,137.61966561,230.04032964
2020-03-17,139.71217231,142.5,139.77989329,139.72414869,139.66410938,144.7535,139.7387196,139.58421087,139.65763754,170.27480577
2020-03-18,132.12063184,135.88,132.19847871,132.15531087,132.41149665,140.99,132.74864388,133.25630068,132.11689794,199.57913641
2020-03-19,140.54121967,133.0,140.43257947,140.58988316,140.49954238,144.3045,140.62653905,140.69501353,140.72854357,161.65298061
2020-03-20,145.66840529,146.0,145.67333283,145.75574689,145.9966471,152.97,146.18732094,146.37803361,145.8439957,177.54225561
2020-03-23,145.9852608,148.0,145.98436352,146.05253123,146.03611729,150.79,145.96660588,146.17113934,146.12377458,161.62751338
2020-03-24,159.39976668,154.77,159.33997882,159.47079908,159.10141008,162.829,159.36834482,159.10922974,159.56122897,133.84531448
2020-03-25,164.69703774,172.39,164.79139228,164.7888419,164.1690838,172.46,165.07901158,165.53823117,164.79034718,139.93194051
2020-03-26,168.69877127,169.0,168.68490952,168.73762285,169.00804398,172.46,168.72541878,168.80318585,168.79600341,134.78523139
2020-03-27,162.23623789,168.0,162.22292952,162.2798238,162.33952917,166.24,162.34162477,162.28724079,162.36169294,137.26487374
2020-03-30,167.20755877,165.0,167.18890751,167.28365755,167.28350819,170.2114,167.61670544,168.12097725,167.36181092,141.8604073
2020-03-31,165.15817111,172.34,165.13300182,165.19134563,165.39363691,168.78,165.25375718,165.23353146,165.25245358,131.62841317
2020-04-01,164.61377469,162.0,164.66262377,164.71197462,165.0490472,169.77,164.77821155,165.34953727,164.74187602,123.70913952
2020-04-02,164.04847421,168.88,163.98796915,164.09355567,164.30601755,168.72,164.06496737,163.70662877,164.21914672,131.86046382
2020-04-03,162.87851237,165.9999,162.84082728,162.93743099,162.84479956,167.62,163.59116077,163.19095667,163.03577232,151.48603963
2020-04-06,170.2378505,170.23,170.19792354,170.32041222,169.90124379,172.44,170.40152722,170.21594759,170.4153127,127.04356517
2020-04-07,175.35397967,179.0,175.32113899,175.39089146,175.73983191,178.88,175.63854947,175.84373855,175.47327736,138.20870952
2020-04-08,175.88496622,181.0,175.83770997,175.90623951,175.9948996,178.0,175.6070154,175.67399931,175.96841395,144.6492767
2020-04-09,179.93201046,180.0,179.96766399,179.94656427,180.15042945,184.4699,180.04330271,179.86037475,179.91622116,155.23861343
